
--------  PARSING

All theorems are syntactically and grammatically correct.


--------  PROVING

Theorem 1 is valid.
Theorem 2 is not valid.
Theorem 3 is not valid.
Theorem 4 is not valid.
Theorem 5 is not valid.
Theorem 6 is not valid.
Theorem 7 is not valid.
Theorem 8 is not valid.
Theorem 9 is not valid.
Theorem 10 is not valid.
Theorem 11 is not valid.
Theorem 12 is not valid.
Theorem 13 is not valid.
Theorem 14 is not valid.
Theorem 15 is not valid.
Theorem 16 is not valid.
Theorem 17 is not valid.
Theorem 18 is not valid.
Theorem 19 is not valid.
Theorem 20 is valid.
Theorem 21 is valid.
Theorem 22 is not valid.
Theorem 23 is not valid.
Theorem 24 is not valid.
Theorem 25 is not valid.
Theorem 26 is not valid.
Theorem 27 is not valid.
Theorem 28 is not valid.
Theorem 29 is not valid.
Theorem 30 is not valid.
Theorem 31 is not valid.
Theorem 32 is not valid.
Theorem 33 is not valid.
Theorem 34 is not valid.
Theorem 35 is not valid.
Theorem 36 is not valid.
Theorem 37 is valid.
Theorem 38 is not valid.
Theorem 39 is not valid.
Theorem 40 is not valid.
Theorem 41 is not valid.
Theorem 42 is not valid.
Theorem 43 is not valid.
Theorem 44 is not valid.
Theorem 45 is not valid.
Theorem 46 is not valid.
Theorem 47 is not valid.
Theorem 48 is not valid.
Theorem 49 is not valid.
Theorem 50 is not valid.
Theorem 51 is not valid.
Theorem 52 is not valid.
Theorem 53 is not valid.
Theorem 54 is not valid.
Theorem 55 is not valid.
Theorem 56 is valid.
Theorem 57 is not valid.
Theorem 58 is not valid.
Theorem 59 is not valid.
Theorem 60 is not valid.
Theorem 61 is not valid.
Theorem 62 is not valid.
Theorem 63 is not valid.
Theorem 64 is not valid.
Theorem 65 is not valid.
Theorem 66 is not valid.
Theorem 67 is not valid.
Theorem 68 is not valid.
Theorem 69 is not valid.
Theorem 70 is not valid.
Theorem 71 is not valid.
Theorem 72 is not valid.
Theorem 73 is not valid.
Theorem 74 is not valid.
Theorem 75 is not valid.
Theorem 76 is not valid.
Theorem 77 is not valid.
Theorem 78 is not valid.
Theorem 79 is not valid.
Theorem 80 is not valid.
Theorem 81 is not valid.
Theorem 82 is not valid.
Theorem 83 is valid.
Theorem 84 is not valid.
Theorem 85 is not valid.
Theorem 86 is not valid.
Theorem 87 is not valid.
Theorem 88 is not valid.
Theorem 89 is not valid.
Theorem 90 is not valid.
Theorem 91 is not valid.
Theorem 92 is not valid.
Theorem 93 is not valid.
Theorem 94 is not valid.
Theorem 95 is not valid.
Theorem 96 is not valid.
Theorem 97 is not valid.
Theorem 98 is not valid.
Theorem 99 is not valid.
Theorem 100 is not valid.
Theorem 101 is valid.
Theorem 102 is not valid.
Theorem 103 is not valid.
Theorem 104 is not valid.
Theorem 105 is not valid.
Theorem 106 is not valid.
Theorem 107 is not valid.
Theorem 108 is not valid.
Theorem 109 is not valid.
Theorem 110 is not valid.
Theorem 111 is not valid.
Theorem 112 is not valid.
Theorem 113 is not valid.
Theorem 114 is not valid.
Theorem 115 is not valid.
Theorem 116 is not valid.
Theorem 117 is not valid.
Theorem 118 is valid.
Theorem 119 is valid.
Theorem 120 is not valid.
Theorem 121 is not valid.
Theorem 122 is not valid.
Theorem 123 is not valid.
Theorem 124 is not valid.
Theorem 125 is not valid.
Theorem 126 is not valid.
Theorem 127 is valid.
Theorem 128 is not valid.
Theorem 129 is valid.
Theorem 130 is not valid.
Theorem 131 is valid.
Theorem 132 is not valid.
Theorem 133 is not valid.
Theorem 134 is not valid.
Theorem 135 is not valid.
Theorem 136 is valid.
Theorem 137 is not valid.
Theorem 138 is not valid.
Theorem 139 is not valid.
Theorem 140 is not valid.
Theorem 141 is not valid.
Theorem 142 is not valid.
Theorem 143 is not valid.
Theorem 144 is not valid.
Theorem 145 is valid.
Theorem 146 is not valid.
Theorem 147 is valid.
Theorem 148 is valid.
Theorem 149 is not valid.
Theorem 150 is not valid.
Theorem 151 is not valid.
Theorem 152 is not valid.
Theorem 153 is not valid.
Theorem 154 is not valid.
Theorem 155 is valid.
Theorem 156 is not valid.
Theorem 157 is not valid.
Theorem 158 is not valid.
Theorem 159 is not valid.
Theorem 160 is not valid.
Theorem 161 is not valid.
Theorem 162 is not valid.
Theorem 163 is not valid.
Theorem 164 is not valid.
Theorem 165 is not valid.
Theorem 166 is not valid.
Theorem 167 is not valid.
Theorem 168 is not valid.
Theorem 169 is not valid.
Theorem 170 is not valid.
Theorem 171 is not valid.
Theorem 172 is not valid.
Theorem 173 is not valid.
Theorem 174 is not valid.
Theorem 175 is not valid.
Theorem 176 is not valid.
Theorem 177 is not valid.
Theorem 178 is not valid.
Theorem 179 is not valid.
Theorem 180 is not valid.
Theorem 181 is not valid.
Theorem 182 is not valid.
Theorem 183 is not valid.
Theorem 184 is valid.
Theorem 185 is not valid.
Theorem 186 is not valid.
Theorem 187 is not valid.
Theorem 188 is not valid.
Theorem 189 is not valid.
Theorem 190 is not valid.
Theorem 191 is not valid.
Theorem 192 is not valid.
Theorem 193 is not valid.
Theorem 194 is not valid.
Theorem 195 is not valid.
Theorem 196 is not valid.
Theorem 197 is not valid.
Theorem 198 is not valid.
Theorem 199 is not valid.
Theorem 200 is not valid.
Theorem 201 is not valid.
Theorem 202 is not valid.
Theorem 203 is not valid.
Theorem 204 is not valid.
Theorem 205 is not valid.
Theorem 206 is not valid.
Theorem 207 is valid.
Theorem 208 is not valid.
Theorem 209 is not valid.
Theorem 210 is not valid.
Theorem 211 is not valid.
Theorem 212 is valid.
Theorem 213 is not valid.
Theorem 214 is valid.
Theorem 215 is valid.
Theorem 216 is not valid.
Theorem 217 is valid.
Theorem 218 is valid.
Theorem 219 is not valid.
Theorem 220 is not valid.
Theorem 221 is not valid.
Theorem 222 is not valid.
Theorem 223 is not valid.
Theorem 224 is not valid.
Theorem 225 is not valid.
Theorem 226 is not valid.
Theorem 227 is not valid.
Theorem 228 is not valid.
Theorem 229 is valid.
Theorem 230 is not valid.
Theorem 231 is not valid.
Theorem 232 is not valid.
Theorem 233 is not valid.
Theorem 234 is not valid.
Theorem 235 is not valid.
Theorem 236 is not valid.
Theorem 237 is valid.
Theorem 238 is not valid.
Theorem 239 is not valid.
Theorem 240 is not valid.
Theorem 241 is not valid.
Theorem 242 is not valid.
Theorem 243 is not valid.
Theorem 244 is valid.
Theorem 245 is not valid.
Theorem 246 is not valid.
Theorem 247 is not valid.
Theorem 248 is not valid.
Theorem 249 is not valid.
Theorem 250 is not valid.
Theorem 251 is valid.
Theorem 252 is not valid.
Theorem 253 is not valid.
Theorem 254 is not valid.
Theorem 255 is not valid.
Theorem 256 is not valid.
Theorem 257 is not valid.
Theorem 258 is not valid.
Theorem 259 is not valid.
Theorem 260 is not valid.
